Pee Wee Paddler IV (4-6 yrs)            ,Cub Run RECenter                        ,11:20am Sat                                                                                          ,5/5/2018
Stroke Mechanics I (6-12 yrs.)          ,Cub Run RECenter                        ,11am Sat                                                                                             ,5/5/2018
Stroke Mechanics I (6-12 yrs.)          ,Cub Run RECenter                        ,11:55am Sat                                                                                          ,5/5/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,8am Sat                                                                                              ,5/5/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,9:50am Sat                                                                                           ,5/5/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,10:40am Sat                                                                                          ,5/5/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,11:30am Sat                                                                                          ,5/5/2018
Swimming III for Children (6-12 yrs.)   ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Preschooler and Me Swim (3-5 yrs)       ,Cub Run RECenter                        ,10:45am Sat                                                                                          ,5/5/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,8:25am Sat                                                                                           ,5/5/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,9:35am Sat                                                                                           ,5/5/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:10am Sat                                                                                          ,5/5/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:45am Sat                                                                                          ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,8:25am Sat                                                                                           ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,9:35am Sat                                                                                           ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,10:10am Sat                                                                                          ,5/5/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,11:20am Sat                                                                                          ,5/5/2018
Baby & Me Swim (6 mos.-18 mos.)         ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Baby & Me Swim (6 mos.-18 mos.)         ,Cub Run RECenter                        ,9:35am Sat                                                                                           ,5/5/2018
Healthy Strides Wellness Workshop-Spring,Cub Run RECenter                        ,1:45pm Sat                                                                                           ,5/5/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Cub Run RECenter                        ,10:10am Sat                                                                                          ,5/5/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Cub Run RECenter                        ,11:20am Sat                                                                                          ,5/5/2018
Stroke Mechanics II (6-14 yrs.)         ,Cub Run RECenter                        ,10am Sat                                                                                             ,5/5/2018
Stroke Mechanics III (9-15 yrs.)        ,Cub Run RECenter                        ,9am Sat                                                                                              ,5/5/2018
Stroke Mechanics IV (11-18 yrs.)        ,Cub Run RECenter                        ,11:50am Sat                                                                                          ,5/5/2018
Aqua Fitness-Ind w/Develop Disabilities ,Cub Run RECenter                        ,3:15pm Sun                                                                                           ,5/6/2018
Adapted Swimming 3 (6-12 yrs)           ,Cub Run RECenter                        ,2:35pm Sun                                                                                           ,5/6/2018
Adapted Swimming 2 (6-12 yrs)           ,Cub Run RECenter                        ,2pm Sun                                                                                              ,5/6/2018
Swimming I for Children (6-12 yrs)      ,Cub Run RECenter                        ,3:50pm Mon                                                                                           ,5/7/2018
Swimming II for Children (6-12 yrs.)    ,Cub Run RECenter                        ,4:40pm Mon                                                                                           ,5/7/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:05am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,10:40am Mon                                                                                          ,5/7/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,11:15am Mon                                                                                          ,5/7/2018
Adapted Swimming 1 (6-12 yrs)           ,Cub Run RECenter                        ,7:10pm Mon                                                                                           ,5/7/2018
Preschoolers w/Disabilities (3-5 yrs)   ,Cub Run RECenter                        ,6:35pm Mon                                                                                           ,5/7/2018
Toddler & Me Swim (19 mos-2 yrs 11 mos) ,Cub Run RECenter                        ,10am Tue                                                                                             ,5/8/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,11:10am Tue                                                                                          ,5/8/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:35am Tue                                                                                          ,5/8/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,11:45am Tue                                                                                          ,5/8/2018
Swimming I - Teens & Adults (13-Adult)  ,Cub Run RECenter                        ,6:30pm Tue                                                                                           ,5/8/2018
Swimming II - Teens & Adults (13-Adult) ,Cub Run RECenter                        ,6:30pm Tue                                                                                           ,5/8/2018
Pee Wee Paddler III (4-6 yrs.)          ,Cub Run RECenter                        ,11:20am Wed                                                                                          ,5/9/2018
Pee Wee Paddler I (3-5 yrs.)            ,Cub Run RECenter                        ,10:45am Wed                                                                                          ,5/9/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,10:10am Wed                                                                                          ,5/9/2018
Baby & Me Swim (6 mos.-18 mos.)         ,Cub Run RECenter                        ,9:30am Wed                                                                                           ,5/9/2018
Pee Wee Paddler II (3-5 yrs.)           ,Cub Run RECenter                        ,10:45am Thu                                                                                          ,5/10/2018
